"REF_DATE","GEO","DGUID","Type of crop","Supply and disposition of grains","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","13916.2","","","","1"
"2012-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","6105.3","","","","1"
"2013-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","9811.2","","","","1"
"2013-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","15332.7","","","","1"
"2013-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","6948.0","","","","1"
"2014-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","11018.1","","","","1"
"2014-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","18426.4","","","","1"
"2014-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","7550.9","","","","1"
"2015-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","11531.7","","","","1"
"2015-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","18780.3","","","","1"
"2015-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","7757.5","","","","1"
"2016-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","11459.9","","","","1"
"2016-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","17190.8","","","","1"
"2016-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","6211.2","","","","1"
"2017-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","9546.7","","","","1"
"2017-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","15621.4","","","","1"
"2017-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","7151.6","","","","1"
"2018-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","11480.6","","","","1"
"2018-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","17570.2","","","","1"
"2018-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","8543.4","","","","1"
"2019-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","12934.7","","","","1"
"2019-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","19761.4","","","","1"
"2019-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","6914.8","","","","1"
"2020-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","10741.6","","","","1"
"2020-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","18714.0","","","","1"
"2020-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","8860.9","","","","1"
"2021-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","13938.7","","","","1"
"2021-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","20566.4","","","","1"
"2021-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","5359.3","","","","1"
"2022-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","8254.6","","","","1"
"2022-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","12352.3","","","","1"
"2022-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","8391.3","","","","1"
"2023-03","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","13996.1","","","","1"
"2023-07","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","20456.8","","","","1"
"2023-12","Canada","2016A000011124","Wheat, excluding durum","Total exports","Metric tonnes","214","thousands","3","v73866500","1.3.8","9362.0","","","","1"
"2010-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4450.3","","","","1"
"2010-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4455.2","","","","1"
"2010-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3627.2","","","","1"
"2011-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3633.7","","","","1"
"2011-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3638.3","","","","1"
"2011-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3898.8","","","","1"
"2012-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3900.1","","","","1"
"2012-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3902.3","","","","1"
"2012-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3645.3","","","","1"
"2013-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3648.3","","","","1"
"2013-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3652.5","","","","1"
"2013-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4384.1","","","","1"
"2014-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4388.0","","","","1"
"2014-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4403.0","","","","1"
"2014-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4056.4","","","","1"
"2015-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4061.7","","","","1"
"2015-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4065.1","","","","1"
"2015-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4140.1","","","","1"
"2016-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4141.8","","","","1"
"2016-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4145.6","","","","1"
"2016-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4208.1","","","","1"
"2017-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4212.1","","","","1"
"2017-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4219.1","","","","1"
"2017-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4445.5","","","","1"
"2018-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4448.1","","","","1"
"2018-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4450.2","","","","1"
"2018-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4219.6","","","","1"
"2019-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4221.8","","","","1"
"2019-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4224.9","","","","1"
"2019-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4630.3","","","","1"
"2020-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4631.8","","","","1"
"2020-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","4637.8","","","","1"
"2020-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","5008.7","","","","1"
"2021-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","5014.0","","","","1"
"2021-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","5018.5","","","","1"
"2021-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3565.6","","","","1"
"2022-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3569.5","","","","1"
"2022-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3580.1","","","","1"
"2022-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","5572.9","","","","1"
"2023-03","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","5576.9","","","","1"
"2023-07","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","5583.7","","","","1"
"2023-12","Canada","2016A000011124","Oats","Total supplies","Metric tonnes","214","thousands","3","v73866512","1.4.1","3918.5","","","","1"
"2010-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","11.6","","","","1"
"2010-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","16.5","","","","1"
"2010-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","14.0","","","","1"
"2011-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","20.5","","","","1"
"2011-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","25.1","","","","1"
"2011-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","8.6","","","","1"
"2012-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","9.9","","","","1"
"2012-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","12.1","","","","1"
"2012-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","11.2","","","","1"
"2013-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","14.2","","","","1"
"2013-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","18.4","","","","1"
"2013-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","10.7","","","","1"
"2014-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","14.6","","","","1"
"2014-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","29.6","","","","1"
"2014-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","10.6","","","","1"
"2015-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","15.9","","","","1"
"2015-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","19.3","","","","1"
"2015-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","14.2","","","","1"
"2016-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","15.9","","","","1"
"2016-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","19.7","","","","1"
"2016-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","9.9","","","","1"
"2017-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","13.9","","","","1"
"2017-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","20.9","","","","1"
"2017-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","9.0","","","","1"
"2018-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","11.7","","","","1"
"2018-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","13.8","","","","1"
"2018-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","5.2","","","","1"
"2019-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","7.4","","","","1"
"2019-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","10.5","","","","1"
"2019-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","6.1","","","","1"
"2020-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","7.6","","","","1"
"2020-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","13.6","","","","1"
"2020-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","7.3","","","","1"
"2021-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","12.6","","","","1"
"2021-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","17.1","","","","1"
"2021-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","10.4","","","","1"
"2022-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","14.4","","","","1"
"2022-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","25.0","","","","1"
"2022-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","13.9","","","","1"
"2023-03","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","17.9","","","","1"
"2023-07","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","24.6","","","","1"
"2023-12","Canada","2016A000011124","Oats","Imports","Metric tonnes","214","thousands","3","v73866517","1.4.6","8.0","","","","1"
"2010-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1508.6","","","","1"
"2010-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2075.5","","","","1"
"2010-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","925.4","","","","1"
"2011-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1383.5","","","","1"
"2011-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1934.7","","","","1"
"2011-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1169.8","","","","1"
"2012-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1599.8","","","","1"
"2012-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2194.3","","","","1"
"2012-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1101.1","","","","1"
"2013-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1559.4","","","","1"
"2013-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2173.2","","","","1"
"2013-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","907.5","","","","1"
"2014-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1390.4","","","","1"
"2014-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2243.3","","","","1"
"2014-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","975.8","","","","1"
"2015-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1639.4","","","","1"
"2015-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2328.8","","","","1"
"2015-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1039.6","","","","1"
"2016-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1594.5","","","","1"
"2016-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2233.5","","","","1"
"2016-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1150.9","","","","1"
"2017-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1750.1","","","","1"
"2017-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2306.1","","","","1"
"2017-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1072.6","","","","1"
"2018-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1648.9","","","","1"
"2018-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2368.2","","","","1"
"2018-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1172.9","","","","1"
"2019-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1718.6","","","","1"
"2019-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2474.7","","","","1"
"2019-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1203.9","","","","1"
"2020-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1813.4","","","","1"
"2020-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2610.7","","","","1"
"2020-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1506.2","","","","1"
"2021-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2146.4","","","","1"
"2021-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2971.7","","","","1"
"2021-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1158.2","","","","1"
"2022-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1684.5","","","","1"
"2022-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2314.1","","","","1"
"2022-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1085.7","","","","1"
"2023-03","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1766.2","","","","1"
"2023-07","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","2669.7","","","","1"
"2023-12","Canada","2016A000011124","Oats","Total exports","Metric tonnes","214","thousands","3","v73866519","1.4.8","1106.3","","","","1"
"2010-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","12522.4","","","","1"
"2010-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","12533.9","","","","1"
"2010-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10137.5","","","","1"
"2011-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10151.7","","","","1"
"2011-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10171.5","","","","1"
"2011-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9405.4","","","","1"
"2012-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9405.9","","","","1"
"2012-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9406.9","","","","1"
"2012-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9210.5","","","","1"
"2013-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9213.1","","","","1"
"2013-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9226.7","","","","1"
"2013-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","11268.6","","","","1"
"2014-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","11269.2","","","","1"
"2014-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","11274.0","","","","1"
"2014-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9084.7","","","","1"
"2015-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9115.1","","","","1"
"2015-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9194.9","","","","1"
"2015-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9518.2","","","","1"
"2016-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9568.2","","","","1"
"2016-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9634.8","","","","1"
"2016-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10295.5","","","","1"
"2017-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10321.4","","","","1"
"2017-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10345.7","","","","1"
"2017-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10045.9","","","","1"
"2018-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10059.1","","","","1"
"2018-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10071.8","","","","1"
"2018-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9641.6","","","","1"
"2019-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9652.3","","","","1"
"2019-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9666.9","","","","1"
"2019-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","11261.7","","","","1"
"2020-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","11281.1","","","","1"
"2020-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","11308.3","","","","1"
"2020-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","11775.0","","","","1"
"2021-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","11862.9","","","","1"
"2021-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","11991.1","","","","1"
"2021-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","7764.1","","","","1"
"2022-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","7822.3","","","","1"
"2022-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","7922.6","","","","1"
"2022-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10543.8","","","","1"
"2023-03","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10547.8","","","","1"
"2023-07","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","10555.6","","","","1"
"2023-12","Canada","2016A000011124","Barley","Total supplies","Metric tonnes","214","thousands","3","v73866531","1.5.1","9643.7","","","","1"
"2010-03","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","30.9","","","","1"
"2010-07","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","42.4","","","","1"
"2010-12","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","8.7","","","","1"
"2011-03","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","22.9","","","","1"
"2011-07","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","42.7","","","","1"
"2011-12","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","12.0","","","","1"
"2012-03","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","12.5","","","","1"
"2012-07","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","13.5","","","","1"
"2012-12","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","2.8","","","","1"
"2013-03","Canada","2016A000011124","Barley","Imports","Metric tonnes","214","thousands","3","v73866536","1.5.6","5.4","","","","1"
